module,gene_symbol,module_class
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Fxn,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Glud1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Got2,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Gpi1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Gpx4,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Grpel1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hadha,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hadhb,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hccs,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hsd17b10,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hspa9,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Htra2,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Idh1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Idh2,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Idh3a,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Idh3b,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Idh3g,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Immt,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Isca1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Iscu,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ldha,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ldhb,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Lrpprc,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Maob,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Mdh1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Mdh2,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Mfn2,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Mgst3,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Mpc1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Mrpl11,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Mrpl15,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Mrpl34,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Mrpl35,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Mrps11,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Mrps12,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Mrps15,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Mrps22,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Mrps30,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Mtrf1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Mtrr,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Mtx2,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufa1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufa2,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufa3,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufa4,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufa5,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufa6,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufa7,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufa8,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufa9,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufab1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufb1,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufb2,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufb3,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufb4,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufb5,mitochondrial
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Ndufb6,mitochondrial
