gene_name,selected_probe_id,GSM2510565,GSM2510566,GSM2510567,GSM2510568,GSM2510569,GSM2510570,GSM2510571,GSM2510572,GSM2510573,GSM2510574,GSM2510575,GSM2510576
Sfxn3,A_55_P2012389,2.689741118,2.63806406,2.516553401,2.349507676,2.692670375,2.464652014,2.134225258,2.404269553,2.324736598,2.171505698,2.40095011,2.437048606
Sfxn5,A_51_P234864,3.764861689,3.639862428,3.786550468,3.379000855,3.723568371,3.609694519,3.106006045,3.562748034,3.376906226,3.306525183,3.447321914,3.810112013
Sgca,A_55_P2020706,1.416976846,1.370706971,1.594292547,1.403631884,1.854541644,1.62701003,1.460251763,1.551939673,1.518330483,1.587093412,1.605030544,1.755351507
Sgcb,A_55_P2016119,1.472083767,1.363587876,1.480880677,1.299288144,1.636657908,1.434319003,1.379282235,1.487949177,1.272350123,1.132812822,1.37572152,1.398931431
Sgcd,A_51_P389004,-1.202053033,-0.996740778,-1.187196581,-1.451601787,-1.44168498,-1.060410371,-1.581287327,-1.203905842,-1.187816582,-1.494455704,-1.19572864,-1.341955539
Sgce,A_55_P1958160,3.128638902,3.076455808,3.12105211,3.156192445,3.171592384,3.134007542,3.199260444,3.165235095,3.084382005,3.332683264,3.107246335,3.227536912
Sgcg,A_51_P194273,-1.927714425,-1.983460642,-1.640363335,-1.751584549,-1.848130534,-1.531272469,-1.760821943,-1.754679867,-1.549450739,-1.561846945,-1.649139127,-1.578637937
Sgcz,A_55_P2151121,-1.441080883,-1.239661554,-1.457755463,-1.282029808,-1.473024455,-1.487810384,-1.404888659,-1.178428314,-1.388839507,-1.563418235,-1.558833072,-1.233267642
Sgf29,NONMMUT063654,1.936720111,1.686440085,1.465499035,1.647713277,1.763347159,1.752593974,1.859663594,1.816470478,1.910208545,1.782498334,1.706384467,1.924736104
Sgip1,A_55_P2018219,4.610473537,4.638679566,4.567856219,4.365520382,4.442357717,4.367721918,3.983154932,4.196337041,4.290466061,4.233171707,4.343401624,4.532416618
Sgk1,A_55_P2039416,1.059362042,1.056524665,0.630253093,0.361719167,0.709412432,0.454393387,0.961517411,1.272569344,0.952775209,0.584363786,0.647243543,1.377901568
Sgk2,A_55_P2042923,-1.547900991,-1.910358953,-1.759546101,-2.08379334,-1.915248212,-1.785085907,-2.20954919,-2.382376137,-2.52499439,-2.139305386,-2.367006292,-1.821120528
Sgk3,ri|C920004G11|PX00177P10|3596,-1.563490157,-1.694243159,-1.911141852,-1.569575373,-1.869660271,-1.476565587,-2.03431752,-2.119462158,-1.800971276,-1.614287025,-2.079063559,-1.787392243
Sgms1,ri|6030433N15|PX00056H08|3088,2.030466222,2.49700451,2.067187468,2.627678681,2.019176858,2.141601997,2.993352774,2.360974545,2.252731404,2.708228505,2.490774535,1.943222017
Sgms2,A_51_P211998,-0.409006814,-0.934558331,-0.400446536,-0.625399193,-0.483734818,-0.491916096,-0.287026058,-0.914211854,-0.760219588,-1.178558068,-0.649191751,-0.157581298
Sgo1,NONMMUT030067,6.228889934,6.240227726,6.348957454,6.145300639,6.220991312,6.215305608,5.640499365,5.761508501,6.116964209,6.214450383,6.246312102,6.190833933
Sgo2a,A_52_P27020,-4.897681502,-4.907078384,-6.187937211,-5.104350906,-6.289215681,-5.261627391,-5.92117883,-4.986928543,-6.436194701,-4.875090701,-5.025214051,-4.416022475
Sgo2b,A_55_P2017705,-0.131455345,-0.464969625,-0.34005176,-0.379612441,-0.256702587,-0.277616626,-0.074846563,-0.179091147,-0.247163005,-0.083542897,-0.279927501,-0.270177403
Sgpl1,A_55_P1984730,1.424699577,1.342217586,1.702748087,1.157455586,1.320928188,1.228106941,1.076052682,1.222422585,1.168707251,1.480520613,1.197099958,1.512784763
Sgpp1,A_55_P2058903,1.599441587,1.389841248,1.739661761,1.327084413,1.554416903,1.367237055,1.300006321,1.417326092,1.589818305,1.462617375,1.614937677,1.646571247
Sgpp2,A_51_P267169,-1.131101546,-0.860088476,-1.317448553,-1.204577487,-1.249107281,-1.450910789,-1.591515363,-1.207754348,-1.395692815,-1.314155703,-1.209580869,-1.474942774
